Game,Copies_sold,Release_date[a],Genre(s),Developer(s),Publisher(s)
Marvel's Spider-Man,20000000,7-Sep-18,Action-adventure,Insomniac Games,Sony Interactive Entertainment
God of War,19500000,20-Apr-18,Action-adventure hack and slash,Santa Monica Studio,Sony Interactive Entertainment
Uncharted 4: A Thief's End,16000000,10-May-16,Action-adventure,Naughty Dog,Sony Interactive Entertainment
The Witcher 3: Wild Hunt,10800000,18-May-15,Action role-playing,CD Projekt Red,CD Projekt
The Last of Us Part II,10000000,19-Jun-20,Action-adventure survival horror,Naughty Dog,Sony Interactive Entertainment
Horizon Zero Dawn,10000000,28-Feb-17,Action role-playing,Guerrilla Games,Sony Interactive Entertainment
The Last of Us Remastered,10000000,29-Jul-14,Action-adventure survival horror,Naughty Dog,Sony Computer Entertainment
Ghost of Tsushima,9730000,17-Jul-20,Action-adventure stealth,Sucker Punch Productions,Sony Interactive Entertainment
Star Wars Battlefront,8420000,17-Nov-15,First-person shooter third-person shooter,EA DICE,Electronic Arts
Gran Turismo Sport,8000000,17-Oct-17,Racing,Polyphony Digital,Sony Interactive Entertainment
Infamous Second Son,6000000,21-Mar-14,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Detroit: Become Human,5500000,25-May-18,Adventure,Quantic Dream,Sony Interactive Entertainment
Final Fantasy VII Remake,5000000,10-Apr-20,Action role-playing,Square Enix,Square Enix
Monster Hunter: World,4670000,26-Jan-18,Action role-playing,Capcom,Capcom
Cyberpunk 2077,3830000,10-Dec-20,Action role-playing,CD Projekt Red,CD Projekt
FIFA 17,3120000,27-Sep-16,Sports,EA Canada EA Bucharest,EA Sports
Crash Bandicoot N. Sane Trilogy,2500000,30-Jun-17,Platform,Vicarious Visions,Activision
Final Fantasy XV,2500000,29-Nov-16,Action role-playing,Square Enix Business Division 2,Square Enix
Persona 5 Royal,2300000,31-Oct-19,Role-playing social simulation,P-Studio,Atlus
Killzone: Shadow Fall,2100000,15-Nov-13,First-person shooter,Guerrilla Games,Sony Computer Entertainment
Grand Theft Auto V,2020000,18-Nov-14,Action-adventure,Rockstar North,Rockstar Games
Bloodborne,2000000,24-Mar-15,Action role-playing,FromSoftware,Sony Computer Entertainment
Driveclub,2000000,7-Oct-14,Racing,Evolution Studios,Sony Computer Entertainment
Knack,2000000,15-Nov-13,Platform beat 'em up,Japan Studio,Sony Computer Entertainment
Minecraft: PlayStation 4 Edition,2000000,4-Sep-14,Sandbox survival,4J Studios,Sony Computer Entertainment
Nier: Automata,1600000,23-Feb-17,Action role-playing,PlatinumGames,Square Enix
Nioh 2,1400000,12-Mar-20,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
Battlefield 1,1300000,21-Oct-16,First-person shooter,EA DICE,Electronic Arts
Dragon Quest XI: Echoes of an Elusive Age,1300000,29-Jul-17,Role-playing,Square Enix,Square Enix
Metal Gear Solid V: The Phantom Pain,1100000,1-Sep-15,Action-adventure stealth,Kojima Productions,Konami
Final Fantasy XII: The Zodiac Age,1000000,11-Jul-17,Role-playing,Square Enix,Square Enix
Kingdom Hearts III,1000000,25-Jan-19,Action role-playing,Square Enix,Square Enix
Nioh,1000000,7-Feb-17,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
